,month_sold,property_age,floors,sqft_living,zipcode,yr_built,lat,sqft_living15,lot_vs_neighbors,sqft_lot,bathrooms,sqft_lot15,age_at_sale,dist_from_center,was_renovated,years_since_renovation,living_lot_ratio,sqft_per_bathroom,waterfront,sqft_above,long,view,condition,above_ratio,bedrooms,living_vs_neighbors,year_sold,has_basement,quality_score,yr_renovated,grade,total_rooms,premium_view,quarter_sold,sqft_per_bedroom,luxury_score,sqft_basement
0,5,65,2.0,1810,98055,1961,47.4362,1660,0.9998917866031815,9240,2.25,9240,54,0.22350393732549856,0,65,0.19586624824153231,556.9230769230769,0,1810,-122.187,0,3,0.9994478188845941,4,1.0897049969897652,2015,0,21,0,7,6.25,0,2,362.0,52.51144120518389,0
1,7,34,2.0,1600,98031,1992,47.4034,1720,0.7731558513588463,2788,2.5,3605,22,0.2493628881770525,0,34,0.5736823234134099,457.14285714285717,0,1600,-122.187,0,4,0.9993753903810119,3,0.9296920395119117,2014,0,28,0,7,5.5,0,3,400.0,51.648685990977,0
2,1,32,2.0,1720,98003,1994,47.2704,1870,1.1585300429184548,8638,2.5,7455,21,0.3363427567229583,0,32,0.19909711772195857,491.42857142857144,0,1720,-122.313,0,3,0.999418942475305,4,0.9192944949225014,2015,0,24,0,8,6.5,0,1,344.0,59.605286369692315,0
3,4,17,2.0,1240,98027,2009,47.5321,1240,0.9387483355525965,705,2.25,750,6,0.269487699162693,0,17,1.7563739376770537,381.53846153846155,0,1150,-122.073,0,3,0.9266720386784851,2,0.9991941982272361,2015,1,21,0,7,4.25,0,2,413.3333333333333,49.86570949643225,90
4,12,32,1.0,1280,98042,1994,47.3715,1590,1.6546085232903864,13356,2.0,8071,20,0.34885484087224755,0,32,0.09582990192408475,426.6666666666667,0,1280,-122.074,0,3,0.9992193598750976,3,0.8045254556882464,2014,0,21,0,7,5.0,0,4,320.0,50.087774113277135,0
5,9,23,2.0,2600,98117,2003,47.6948,2000,0.7588156524326737,5100,3.5,6720,11,0.10865712125765069,0,23,0.5097039796118408,577.7777777777778,0,1820,-122.395,0,3,0.6997308727412533,4,1.2993503248375813,2014,1,24,0,8,7.5,0,3,520.0,62.90921012358921,780
6,6,75,1.0,1060,98155,1951,47.7463,1850,0.8683068017366136,7200,1.0,8291,63,0.14113971801020106,0,75,0.1472017775308985,530.0,0,1060,-122.315,0,4,0.9990574929311969,2,0.5726634251755808,2014,0,24,0,6,3.0,0,2,353.3333333333333,41.8018028316839,0
7,5,37,1.0,2130,98072,1989,47.7489,2860,0.8073506117857717,35169,2.0,43560,25,0.2531523256855369,0,37,0.06056297981234006,710.0,0,2130,-122.123,0,4,0.999530736743313,3,0.7444949318420133,2014,0,32,0,8,5.0,0,2,532.5,61.31477305678894,0
8,3,59,1.0,1070,98001,1967,47.3377,1320,0.7781845726549678,6164,1.0,7920,48,0.2716274286591869,0,59,0.1735604217356042,535.0,0,1070,-122.291,0,3,0.9990662931839402,3,0.8099924299772899,2015,0,21,0,7,4.0,0,1,267.5,48.83443649313424,0
9,5,19,2.0,998,98117,2007,47.6983,998,0.7596759675967597,844,2.25,1110,7,0.0984907102218321,0,19,1.1810650887573964,307.0769230769231,0,798,-122.367,0,3,0.7987987987987988,3,0.998998998998999,2014,1,21,0,7,5.25,0,2,249.5,48.34728345053988,200
