,price
0,268643
1,245000
2,200000
3,352499
4,232000
5,722500
6,299995
7,880000
8,175000
9,320000
10,475000
11,995000
12,1285000
13,239900
14,340000
15,680000
16,235245
17,416000
18,420000
19,257000
20,380000
21,399000
22,339900
23,585000
24,310000
25,498000
26,360000
27,265000
28,820000
29,419900
30,485000
31,683000
32,320000
33,598000
34,420000
35,535000
36,415000
37,234975
38,299000
39,455000
40,581000
41,960000
42,465000
43,485000
44,539950
45,212000
46,1050000
47,245700
48,265000
49,325500
50,499900
51,539000
52,550000
53,757500
54,501000
55,355000
56,530000
57,170000
58,702000
59,395000
60,409000
61,435000
62,250000
63,469995
64,315000
65,327000
66,639000
67,702000
68,1443920
69,699000
70,269000
71,1050000
72,645000
73,425590
74,400000
75,389000
76,433500
77,429900
78,1699000
79,220000
80,299000
81,1050000
82,154200
83,269500
84,779000
85,262000
86,957000
87,340000
88,402000
89,520000
90,618000
91,750000
92,650000
93,268000
94,339000
95,280000
96,380000
97,358000
98,1430000
99,209950
100,260000
101,579000
102,650000
103,562500
104,430000
105,329000
106,550000
107,650000
108,675000
109,455000
110,665000
111,780000
112,450000
113,1005000
114,510000
115,515000
116,263000
117,799950
118,285000
119,449000
120,205000
121,553000
122,1600000
123,442500
124,1309500
125,450000
126,760000
127,705000
128,811000
129,414000
130,479950
131,2000000
132,367000
133,589000
134,199000
135,608000
136,495000
137,385000
138,284000
139,437500
140,443600
141,790000
142,778000
143,1285000
144,385000
145,662500
146,610000
147,476000
148,365000
149,245000
150,585000
151,278800
152,285000
153,320000
154,524950
155,725000
156,745000
157,465000
158,443000
159,210000
160,344200
161,299900
162,615000
163,270000
164,315000
165,645000
166,685000
167,910000
168,354000
169,485000
170,450000
171,750000
172,499000
173,290000
174,415000
175,271115
176,662700
177,525000
178,433000
179,490000
180,310000
181,554500
182,465000
183,355000
184,222900
185,257000
186,479000
187,545000
188,870000
189,1050000
190,745000
191,670000
192,519000
193,1648000
194,725000
195,560000
196,643403
197,415000
198,445000
199,184500
200,530000
201,547000
202,620000
203,319900
204,1065000
205,750000
206,274000
207,652600
208,229950
209,492000
210,205000
211,540500
212,523460
213,425000
214,205000
215,988000
216,384000
217,611000
218,575000
219,415000
220,635000
221,754950
222,562000
223,365000
224,430000
225,746300
226,510000
227,1545000
228,450000
229,310000
230,399950
231,355000
232,368888
233,615500
234,440000
235,426000
236,733000
237,1100000
238,995000
239,670500
240,309000
241,575000
242,320000
243,185850
244,240000
245,409000
246,455000
247,760500
248,411000
249,157500
250,365250
251,452000
252,2187730
253,605000
254,522000
255,470000
256,340500
257,505500
258,170000
259,217000
260,297950
261,379900
262,485000
263,339950
264,556000
265,900000
266,518000
267,640000
268,495000
269,530000
270,1015000
271,265000
272,432500
273,255000
274,279800
275,199999
276,565000
277,300000
278,465000
279,495000
280,250000
281,1050000
282,275000
283,500000
284,239000
285,350000
286,629000
287,355000
288,415000
289,615000
290,237000
291,190000
292,815000
293,555000
294,305000
295,810000
296,1575000
297,635000
298,1525000
299,310000
300,485000
301,820000
302,231000
303,512031
304,710000
305,320000
306,420000
307,580000
308,1400000
309,325000
310,1065000
311,543200
312,763000
313,239950
314,690000
315,306500
316,650000
317,380000
318,275000
319,420000
320,295950
321,289950
322,238000
323,1100000
324,618000
325,565000
326,625000
327,263850
328,327000
329,720168
330,294400
331,608000
332,537000
333,985000
334,130000
335,859950
336,450000
337,259950
338,259875
339,226500
340,420000
341,1205000
342,245000
343,750000
344,740000
345,545000
346,270000
347,422500
348,750000
349,265000
350,440000
351,739000
352,402500
353,505000
354,575000
355,872000
356,427500
357,427000
358,450000
359,330000
360,359000
361,647500
362,619000
363,329950
364,495000
365,1199000
366,285000
367,550000
368,350000
369,410988
370,564000
371,300000
372,724950
373,199988
374,451000
375,618080
376,299250
377,217000
378,575000
379,320000
380,399963
381,292000
382,270000
383,225000
384,425000
385,431500
386,356000
387,640000
